Property ID,Region,Province,District,Locality,PostalCode,Street,Price,PriceType,PropertyType,PropertySubtype,BedroomCount,LivingArea,KitchenType,Furnished,Open_fire,SwimmingPool,Terrace_Area,Garden_Area,FacadeCount,FloorCount,ConstructionYear,StateBuilding,LandWidth,LandSurface,EPCScore,ScrapedURL,HasTerrace,HasGarden
20239833,Flanders,Antwerp,Mechelen,Lier,2500,,750000,residential_sale,HOUSE,HOUSE,4.0,292.0,,0,0,0,,,4.0,,1973.0,TO_RENOVATE,25.0,11540.0,F,https://www.immoweb.be/en/classified/house/for-sale/lier/2500/20239833,0,0
20217661,Brussels,Brussels,Brussels,Schaerbeek,1030,Boulevard Lambermont,795000,residential_sale,HOUSE,HOUSE,5.0,200.0,HYPER_EQUIPPED,0,0,0,10.0,100.0,3.0,3.0,1926.0,GOOD,0.0,300.0,G,https://www.immoweb.be/en/classified/house/for-sale/schaerbeek/1030/20217661,1,1
20217650,Brussels,Brussels,Brussels,LAEKEN,1020,,645000,residential_sale,HOUSE,APARTMENT_BLOCK,4.0,373.0,HYPER_EQUIPPED,0,0,0,,,2.0,3.0,,GOOD,6.0,280.0,,https://www.immoweb.be/en/classified/apartment-block/for-sale/laeken/1020/20217650,0,0
20217577,Brussels,Brussels,Brussels,Anderlecht,1070,,315000,residential_sale,HOUSE,HOUSE,3.0,176.0,,0,0,0,11.0,95.0,3.0,2.0,1945.0,TO_RENOVATE,0.0,0.0,G,https://www.immoweb.be/en/classified/house/for-sale/anderlecht/1070/20217577,1,1
20237323,Flanders,Antwerp,Antwerp,RANST,2520,Valkenlaan,399000,residential_sale,HOUSE,HOUSE,3.0,200.0,INSTALLED,0,1,0,10.0,118.0,3.0,,1987.0,GOOD,10.0,400.0,E,https://www.immoweb.be/en/classified/house/for-sale/ranst/2520/20237323,1,1
20241624,Flanders,Antwerp,Antwerp,Antwerpen,2060,Van Maerlantstraat,439000,residential_sale,HOUSE,APARTMENT_BLOCK,9.0,261.0,SEMI_EQUIPPED,0,0,0,,,2.0,,1927.0,TO_RENOVATE,7.0,71.0,F,https://www.immoweb.be/en/classified/apartment-block/for-sale/antwerpen/2060/20241624,0,0
20241626,Wallonie,Luxembourg,Bastogne,VIELSALM,6690,Fraiture,259000,residential_sale,HOUSE,HOUSE,3.0,142.0,INSTALLED,0,0,0,,1102.0,4.0,,1890.0,JUST_RENOVATED,0.0,1605.0,B,https://www.immoweb.be/en/classified/house/for-sale/vielsalm/6690/20241626,0,1
20241617,Flanders,Limburg,Maaseik,MAASEIK,3680,Gebroeders Crollstraat,499000,residential_sale,HOUSE,HOUSE,3.0,188.0,INSTALLED,0,0,0,,,4.0,,2017.0,,0.0,483.0,,https://www.immoweb.be/en/classified/house/for-sale/maaseik/3680/20241617,0,0
20241601,Flanders,East Flanders,Oudenaarde,OPBRAKEL,9660,Brakelbosstraat,695000,residential_sale,HOUSE,HOUSE,4.0,305.0,INSTALLED,0,1,1,70.0,,4.0,,1976.0,,0.0,6140.0,C,https://www.immoweb.be/en/classified/house/for-sale/opbrakel/9660/20241601,1,0
20241614,Wallonie,Liège,Liège,Awans,4342,Rue d'Oupeye,295000,residential_sale,HOUSE,VILLA,3.0,140.0,NOT_INSTALLED,0,0,0,18.0,220.0,4.0,1.0,1973.0,TO_RENOVATE,0.0,518.0,D,https://www.immoweb.be/en/classified/villa/for-sale/awans/4342/20241614,1,1
20241604,Flanders,West Flanders,Brugge,Assebroek,8310,Baron Ruzettelaan,440000,residential_sale,HOUSE,HOUSE,4.0,195.0,HYPER_EQUIPPED,0,0,0,,,2.0,,,AS_NEW,0.0,215.0,B,https://www.immoweb.be/en/classified/house/for-sale/assebroek/8310/20241604,0,0
